Region,Time,Total cash earnings【yen】,vs. YA %
Japan,Jan.2012,270525,
Japan,Feb.2012,265527,
Japan,Mar.2012,278489,
Japan,Apr.2012,273431,
Japan,May-2012,268657,
Japan,Jun.2012,435126,
Japan,Jul.2012,361869,
Japan,Aug.2012,274711,
Japan,Sep.2012,266361,
Japan,Oct.2012,268283,
Japan,Nov.2012,275917,
Japan,Dec.2012,542992,
Japan,Jan.2013,271126,0.22%
Japan,Feb.2013,263562,-0.74%
Japan,Mar.2013,276145,-0.84%
Japan,Apr.2013,273746,0.12%
Japan,May-2013,268989,0.12%
Japan,Jun.2013,438851,0.86%
Japan,Jul.2013,362127,0.07%
Japan,Aug.2013,272904,-0.66%
Japan,Sep.2013,266137,-0.08%
Japan,Oct.2013,268390,0.04%
Japan,Nov.2013,277977,0.75%
Japan,Dec.2013,549279,1.16%
Japan,Jan.2014,270919,-0.08%
Japan,Feb.2014,263702,0.05%
Japan,Mar.2014,278691,0.92%
Japan,Apr.2014,276140,0.87%
Japan,May-2014,270863,0.70%
Japan,Jun.2014,445199,1.45%
Japan,Jul.2014,372130,2.76%
Japan,Aug.2014,275421,0.92%
Japan,Sep.2014,268406,0.85%
Japan,Oct.2014,269301,0.34%
Japan,Nov.2014,278526,0.20%
Japan,Dec.2014,556880,1.38%
Japan,Jan.2015,270353,-0.21%
Japan,Feb.2015,261519,-0.83%
Japan,Mar.2015,276098,-0.93%
Japan,Apr.2015,275432,-0.26%
Japan,May-2015,270469,-0.15%
Japan,Jun.2015,429864,-3.44%
Japan,Jul.2015,370709,-0.38%
Japan,Aug.2015,273095,-0.84%
Japan,Sep.2015,266076,-0.87%
Japan,Oct.2015,267942,-0.50%
Japan,Nov.2015,276101,-0.87%
Japan,Dec.2015,548404,-1.52%
Japan,Jan.2016,270505,0.06%
Japan,Feb.2016,263584,0.79%
Japan,Mar.2016,280119,1.46%
Japan,Apr.2016,275383,-0.02%
Japan,May-2016,270553,0.03%
Japan,Jun.2016,436508,1.55%
Japan,Jul.2016,375025,1.16%
Japan,Aug.2016,273531,0.16%
Japan,Sep.2016,266357,0.11%
Japan,Oct.2016,268328,0.14%
Japan,Nov.2016,277538,0.52%
Japan,Dec.2016,552607,0.77%
Japan,Jan.2017,271857,0.50%
Japan,Feb.2017,264332,0.28%
Japan,Mar.2017,280249,0.05%
Japan,Apr.2017,276963,0.57%
Japan,May-2017,272683,0.79%
Japan,Jun.2017,437830,0.30%
Japan,Jul.2017,373293,-0.46%
Japan,Aug.2017,275374,0.67%
Japan,Sep.2017,268935,0.97%
Japan,Oct.2017,269395,0.40%
Japan,Nov.2017,280353,1.01%
Japan,Dec.2017,557226,0.84%
Japan,Jan.2018,273974,0.78%
Japan,Feb.2018,266458,0.80%
Japan,Mar.2018,285150,1.75%
Japan,Apr.2018,277657,0.25%
Japan,May-2018,276513,1.40%
Japan,Jun.2018,450147,2.81%
Japan,Jul.2018,378144,1.30%
Japan,Aug.2018,276949,0.57%
Japan,Sep.2018,270599,0.62%
Japan,Oct.2018,272218,1.05%
Japan,Nov.2018,285187,1.72%
Japan,Dec.2018,565789,1.54%
Japan,Jan.2019,272120,-0.68%
Japan,Feb.2019,264571,-0.71%
Japan,Mar.2019,281346,-1.33%
Japan,Apr.2019,276520,-0.41%
Japan,May-2019,275217,-0.47%
Japan,Jun.2019,451442,0.29%
Japan,Jul.2019,374654,-0.92%
Japan,Aug.2019,276695,-0.09%
Japan,Sep.2019,271893,0.48%
Japan,Oct.2019,272218,0.00%
Japan,Nov.2019,285429,0.08%
Japan,Dec.2019,564630,-0.20%
Japan,Jan.2020,275175,1.12%
Japan,Feb.2020,266662,0.79%
Japan,Mar.2020,281554,0.07%
Japan,Apr.2020,274747,-0.64%
Japan,May-2020,268761,-2.35%
Japan,Jun.2020,442703,-1.94%
Japan,Jul.2020,368810,-1.56%
Japan,Aug.2020,273186,-1.27%
Japan,Sep.2020,269323,-0.95%
Japan,Oct.2020,270381,-0.67%
Japan,Nov.2020,279095,-2.22%
